선수명,팀명,평균자책점,경기수,승리,패배,세이브,홀드,승률,투구 이닝,피안타,피홈런,볼넷,사구,탈삼진,실점,자책점,이닝당 출루허용률
네일,KIA,1.65,10,5,1,0,0,0.833,60,56,2,10,4,62,20,11,1.1
원태인,삼성,2.35,10,5,2,0,0,0.714,57 1/3,45,4,16,3,47,16,15,1.06
하트,NC,2.74,10,5,1,0,0,0.833,62 1/3,52,2,15,2,60,22,19,1.07
양현종,KIA,2.84,11,4,2,0,0,0.667,69 2/3,63,6,15,3,48,24,22,1.12
쿠에바스,KT,2.99,11,2,5,0,0,0.286,69 1/3,52,7,17,0,73,25,23,1.0
신민혁,NC,3.02,10,4,3,0,0,0.571,53 2/3,66,6,4,1,39,22,18,1.3
헤이수스,키움,3.47,10,5,3,0,0,0.625,57,50,5,15,6,55,23,22,1.14
곽빈,두산,3.5,11,4,4,0,0,0.5,64 1/3,56,1,23,2,64,26,25,1.23
반즈,롯데,3.5,10,3,2,0,0,0.6,61 2/3,57,7,18,3,79,24,24,1.22
박세웅,롯데,3.59,10,5,3,0,0,0.625,57 2/3,60,3,16,3,39,29,23,1.32
카스타노,NC,3.67,9,3,2,0,0,0.6,56 1/3,52,7,8,4,45,31,23,1.07
최원태,LG,3.74,10,6,2,0,0,0.75,55 1/3,46,4,29,2,50,24,23,1.36
윌커슨,롯데,3.99,11,4,4,0,0,0.5,65 1/3,69,8,7,1,58,30,29,1.16
후라도,키움,4.13,11,4,4,0,0,0.5,65 1/3,72,8,17,2,47,31,30,1.36
코너,삼성,4.17,11,4,3,0,0,0.571,58 1/3,54,9,22,9,62,31,27,1.3
레예스,삼성,4.21,11,5,2,0,0,0.714,57 2/3,70,5,11,3,53,29,27,1.4
류현진,한화,4.5,11,3,4,0,0,0.429,60,67,1,17,1,55,36,30,1.4
김광현,SSG,4.58,11,3,3,0,0,0.5,59,52,9,20,2,61,30,30,1.22
오원석,SSG,4.88,12,3,3,0,1,0.5,55 1/3,56,6,26,4,47,30,30,1.48
엄상백,KT,5.3,11,3,6,0,0,0.333,56,62,11,18,1,65,35,33,1.43
엔스,LG,5.43,11,4,2,0,0,0.667,56 1/3,72,4,17,2,55,39,34,1.58
켈리,LG,5.72,10,1,6,0,0,0.143,56 2/3,74,9,15,5,42,41,36,1.57
